ModelWeb Browser Results

nrlmsise model listing
Required input parameters
Year= 2000, Month=  1, Day=  1, Hour= 1.50,
Time_type = Universal
Coordinate_type = Geographic
Latitude=   55.00, Longitude=   45.00, Height=   100.00
Prof. parameters: Start=     0.00 Stop=  1000.00 Step=     1.00

Optional input parameters:

Sunspot number(Rz12) =not specified
Ionospheric index(IG12) =not specified
Upper limit for Electron content = not specified
F peak model =  
Ne Topside =  
foF2 Storm model =  
Bottomside Thickness =  
F1 occurrence probability =  
D-Region Ne =  
Topside Te =  
Ion Composition =  

Selected output parameters:
1  Height, km
2  Mass_density, g/cm-3
  635.0 5.377E-17  891.4   891
  636.0 5.311E-17  891.4   891
  637.0 5.245E-17  891.4   891
  638.0 5.180E-17  891.4   891
  639.0 5.117E-17  891.4   891
  640.0 5.054E-17  891.4   891
  641.0 4.993E-17  891.4   891
  642.0 4.932E-17  891.4   891
  643.0 4.872E-17  891.4   891
  644.0 4.814E-17  891.4   891
  645.0 4.756E-17  891.4   891
  646.0 4.699E-17  891.4   891
  647.0 4.643E-17  891.4   891
  648.0 4.588E-17  891.4   891
  649.0 4.534E-17  891.4   891
  650.0 4.480E-17  891.4   891
  651.0 4.428E-17  891.4   891
  652.0 4.376E-17  891.4   891
  653.0 4.325E-17  891.4   891
  654.0 4.275E-17  891.4   891
  655.0 4.225E-17  891.4   891
  656.0 4.177E-17  891.4   891
  657.0 4.129E-17  891.4   891
  658.0 4.082E-17  891.4   891
  659.0 4.035E-17  891.4   891
  660.0 3.989E-17  891.4   891
  661.0 3.944E-17  891.4   891
  662.0 3.900E-17  891.4   891
  663.0 3.856E-17  891.4   891
  664.0 3.813E-17  891.4   891
